lunch_quantile,class,submission_rate,count
10th,2023,0.48515111695137975,49
1st,2023,0.3186703096539162,50
2nd,2023,0.33216656608328304,50
3rd,2023,0.3468009547650929,50
4th,2023,0.35952874158467113,50
5th,2023,0.35272264090860844,50
6th,2023,0.3873622336517267,50
7th,2023,0.38766134325092977,50
8th,2023,0.42769857433808556,51
9th,2023,0.46563348628148704,49
10th,2024,0.3415501905972046,50
1st,2024,0.17918874315990618,50
2nd,2024,0.19975310093468931,50
3rd,2024,0.21099038625632857,50
4th,2024,0.22745047759471762,50
5th,2024,0.22363747082106972,50
6th,2024,0.26560684237437826,50
7th,2024,0.2590544062117747,50
8th,2024,0.2846504700735363,50
9th,2024,0.3183977643223102,50
